Back,,,,Chrome,Firefox,IE,,,,,,
ID_365,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 2 ""Thông tin khách hàng""","1. Login vào Client Portal
2. Left menu: Chọn ""Cơ hội bán hàng""
3. Màn hình ""Quản lý cơ hội bán hàng"" chọn button ""Thêm mới""","- Page title: ""Thêm báo giá"":
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"": Gồm 1 field:
+ ""Tên khách hàng"" là field TEXT, default = <load theo ...> và là readonly",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_366,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 3 ""Thông tin thanh toán"" <Hidden on create>",N/A,N/A,7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_367,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 4 ""Thông tin xuất hóa đơn""","1. Login vào Client Portal
2. Left menu: Chọn ""Cơ hội bán hàng""
3. Màn hình ""Quản lý cơ hội bán hàng"" chọn button ""Thêm mới""","- Page title: ""Thêm báo giá"":
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"" <Hidden on create>:
- Group 4 ""Thông tin xuất hóa đơn"": Gồm 7 field:
+ ""Ngân hàng tham chiếu tỷ giá"" là field CBO, default = <load theo ...> và là readonly
+ ""Tỷ giá tham chiếu"" là field CBO, default = <load theo ...> và là readonly
+ ""Tỷ giá"" là field NUMBER, default = <load theo ...> và là readonly
+ ""Tài sản xuất hóa đơn"" là field CBO, default = <load theo ...> và là readonly
+ ""Tên xuất hóa đơn"" là field TEXT, default = <load theo ...> và là readonly
+ ""Địa chỉ xuất hóa đơn"" là field TEXT, default = <load theo ...> và là readonly
+ ""Mã số thuế xuất hóa đơn"" là field TEXT, default = <load theo ...> và là readonly",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_368,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 5 ""Thông tin vận chuyển""","1. Login vào Client Portal
2. Left menu: Chọn ""Cơ hội bán hàng""
3. Màn hình ""Quản lý cơ hội bán hàng"" chọn button ""Thêm mới""","- Page title: ""Thêm báo giá"":
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"" <Hidden on create>:
- Group 4 ""Thông tin vận chuyển"":
- Group 5 ""Thông tin xuất hóa đơn"": Gồm 17 field:
+ ""Kho WMS"" là field CHECKBOX, default = <load theo ...> và là readonly
+ ""Đơn vị tổ chức giao hàng"" là field CBO, default = <load theo ...> và là readonly
+ ""Tổ chức xuất hàng"" là field CBO, default = <load theo ...> và là readonly
+  ""Kho xuất hàng"" là field CBO, default = <load theo ...> và là readonly
+ ""Địa chỉ kho xuất hàng"" là field TEXT, default = <load theo ...> và là readonly
+ ""Địa chỉ giao hàng"" là field CBO, default = <load theo ...> và là readonly
+ ""Giao hàng từ ngày"" là field DATETIME, default = <load theo ...> và là readonly
+ ""Giao hàng đến ngày"" là field DATETIME, default = <load theo ...> và là readonly
+ ""Ngày giao hàng"" là field DATETIME, default = <load theo ...> và là readonly
+ ""Ngày nhận hàng tự kiến"" là field DATETIME, default = <load theo ...> và là readonly
+ ""Người nhận hàng"" là field CBO, default = <load theo ...> và là readonly
+ ""Yêu cầu vận chuyển"" là field CHECKBOX, default = <load theo ...> và là readonly
+ ""Phương thức giao hàng"" là field CBO
+ ""Xe vận chuyển"" là field CBO 
+ ""Đơn vị vận chuyển"" là field CBO
+ ""Đối tác vận chuyển"" là field CBO
+ ""Bảng giá vận chuyển"" là field CBO",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_369,,Trường hợp …,,,,,,,,,,
ID_370,,Trường hợp …,,,,,,,,,,
ID_371,,Trường hợp …,,,,,,,,,,
ID_372,,Trường hợp …,,,,,,,,,,
ID_373,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Cơ hội bán hàng""
3. Màn hình ""Quản lý cơ hội bán hàng"" chọn button ""Thêm mới""","- Page title: ""Thêm báo giá"":
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"" <Hidden on create>:
- Group 4 ""Thông tin vận chuyển"":
- Group 5 ""Thông tin xuất hóa đơn"":
- Group 6 ""Thông tin bốc xếp"": Gồm 3 field:
+ ""Yêu cầu bốc xếp"" là field CHECKBOX, default = <load theo ...> và là readonly
+ ""Phương thức bốc xếp"" là field CBO, default = <load theo ...> và là readonly
+ ""Bảng giá bốc xếp"" là field CBO, default = <load theo ...> và là readonly",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_374,,"Kiểm tra xem dữ liệu màn hình ""Thêm báo giá""
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Cơ hội bán hàng""
3. Màn hình ""Quản lý cơ hội bán hàng"" chọn button ""Thêm mới""","- Page title: ""Thêm báo giá"":
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"" <Hidden on create>:
- Group 4 ""Thông tin vận chuyển"":
- Group 5 ""Thông tin xuất hóa đơn"":
- Group 6 ""Thông tin bốc xếp"": Gồm 3 field:
+ ""Yêu cầu bốc xếp"" là field CHECKBOX, default = <load theo ...> và là readonly
+ ""Phương thức bốc xếp"" là field CBO, default = <load theo ...> và là readonly
+ ""Bảng giá bốc xếp"" là field CBO, default = <load theo ...> và là readonly",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_375,,"Kiểm tra canh lề chuỗi / số page ""Thêm báo giá""",,"- Field Input:
+ Chuỗi, Số/ Ngày giờ: Luôn canh trái cho dù input là số hay chữ
+ Checkbox/ toggle: Canh giữa",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_376,,Kiểm tra nhập giá trị không tồn tại vào các cbo,"- Nhập dữ liệu không tồn tại vào các field cbo
- Tab/Chọn ra ngoài",Dữ liệu nhập không tồn tại sẽ mất đi,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_377,,"Kiểm tra dữ liệu load ở cbo ""Người phụ trách""
Group 1 ""Thông tin chung""","Chọn cbo ""Người phụ trách""","- Dữ liệu load từ màn hình ""Quản trị viên""

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: users
+ WHERE: ""enabled"" = false",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_378,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Người phụ trách""
Group 1 ""Thông tin chung""","Chọn cbo ""Người phụ trách""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: users
+ WHERE: ""enabled"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_379,,"Kiểm tra chọn dữ liệu ở cbo ""Người phụ trách""
Group 1 ""Thông tin chung""","Chọn multi ""Người phụ trách"" = Nguyễn Mỹ Duyên, Trần Thanh Mai",Single-select (cbo có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_380,,"Kiểm tra search placeholder trong cbo ""Người phụ trách""
Group 1 ""Thông tin chung""","Chọn cbo ""Người phụ trách""","Placeholder ""Tìm theo mã người phụ trách hoặc tên người phụ trách""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_381,,"Kiểm tra dữ liệu load ở cbo ""Loại báo giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Loại báo giá""","- Dữ liệu load từ màn hình ""<chưa có> Quote Status"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Tables: currency
+ WHERE: ""status"" = ACTIVE",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_382,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Loại báo giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Loại báo giá""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Tables: currency
+ WHERE: ""status"" = ACTIVE
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_383,,"Kiểm tra chọn dữ liệu ở cbo ""Loại báo giá""
Group 1 ""Thông tin chung""","Chọn multi ""Loại báo giá"" = A, B",Single-select,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_384,,"Kiểm tra hiển thị dữ liệu trong cbo ""Loại báo giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Loại báo giá""","Placeholder ""Tìm theo mã loại báo giá hoặc tên loại báo giá""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_385,,"Kiểm tra dữ liệu load ở cbo ""Khách hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""Khách hàng""","- Dữ liệu load từ màn hình ""Khách hàng"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active => Hỏi có where theo ""Loại khách hàng"" ko, vd: khách hàng cá nhân, nhà bán lẻ, nhà phân phối => CONFIRM??
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_386,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Khách hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""Khách hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_387,,"Kiểm tra chọn dữ liệu ở cbo ""Khách hàng""
Group 1 ""Thông tin chung""","Chọn multi ""Khách hàng"" = Nguyễn Văn A, Trần Thị B",Single-select,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_388,,"Kiểm tra hiển thị dữ liệu trong cbo ""Khách hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""Khách hàng""","Placeholder ""Tìm theo mã khách hàng hoặc tên khách hàng""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_389,,"Kiểm tra dữ liệu load ở cbo ""Tiền tệ""
Group 1 ""Thông tin chung""","Chọn cbo ""Tiền tệ""","- Load dữ liệu theo ""Khách hàng"" được chọn
- Dữ liệu load từ màn hình ""Tiền tệ"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Tables: currency
+ WHERE: ""status"" = ACTIVE",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_390,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Tiền tệ""
Group 1 ""Thông tin chung""","Chọn cbo ""Tiền tệ""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Tables: currency
+ WHERE: ""status"" = ACTIVE
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_391,,"Kiểm tra hiển thị dữ liệu trong cbo ""Tiền tệ""
Group 1 ""Thông tin chung""","Chọn ""Tiền tệ"" = Đồng, Bảng Anh",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_392,,"Kiểm tra search placeholde trong cbo ""Tiền tệ""
Group 1 ""Thông tin chung""","Chọn cbo ""Bảng giá""","Placeholder ""Tìm theo mã đơn vị tiền tệ hoặc tên đơn vị tiền tệ""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_393,,"Kiểm tra dữ liệu load ở cbo ""Bảng giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Bảng giá""","- Dữ liệu load từ màn hình ""Bảng giá"": Điều kiên:
+ Thông tin ""Khách hàng"" được chọn
+ Thông tin ""Tiền tệ"" được chọn
+ Thông tin ""Ngày báo giá"" phải thuộc thời hạn hiệu lực của ""Bảng giá"" được chọn
- Cho phép lại


- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_catalogs
+ Schemas: bhc
+ Tables: Price
+ WHERE:
     + ""status"" = ACTIVE -- khách hàng
     + ""status"" = ACTIVE -- tiền tệ
     + ""status"" = ACTIVE -- hiệu lực",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_394,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Bảng giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Bảng giá""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_catalogs
+ Schemas: bhc
+ Tables: Price
+ WHERE:
     + ""status"" = ACTIVE -- khách hàng
     + ""status"" = ACTIVE -- tiền tệ
     + ""status"" = ACTIVE -- hiệu lực
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_395,,"Kiểm tra hiển thị dữ liệu trong cbo ""Bảng giá""
Group 1 ""Thông tin chung""","Chọn ""Bảng giá"" = ",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_396,,"Kiểm tra search placeholde trong cbo ""Bảng giá""
Group 1 ""Thông tin chung""","Chọn cbo ""Bảng giá""","Placeholder ""Tìm theo mã bảng giá hoặc tên bảng giá""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_397,,"Kiểm tra dữ liệu load ở popup ""Sale phụ trách""
Group 1 ""Thông tin chung""","Chọn popup ""Sale phụ trách""","- Dữ liệu load từ màn hình ""Nhân viên"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Đang hoạt động

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = true",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_398,,"Kiểm tra sắp xếp dữ liệu load ở popup ""Sale phụ trách""
Group 1 ""Thông tin chung""","Chọn popup ""Sale phụ trách""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = true
+ ORDER BY ""created_at"" DESC",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,"SELECT * FROM bhc.employees where ""enabled"" = 'true' order by ""created_at"" desc"
ID_399,,"Kiểm tra chọn dữ liệu ở popup ""Sale phụ trách""
Group 1 ""Thông tin chung""","Chọn multi ""Sale phụ trách"" = Nguyễn Mỹ Duyên, Trần Thanh Mai",Single-select (cbo có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_400,,"Kiểm tra search placeholder trong popup ""Sale phụ trách""
Group 1 ""Thông tin chung""","Chọn popup ""Sale phụ trách""","Placeholder ""Tìm theo mã sale phụ trách hoặc tên sale phụ trách""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_401,,"Kiểm tra dữ liệu load ở cbo ""BU bán hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""BU bán hàng""","- Dữ liệu load từ màn hình ""Sơ đồ tổ chức"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: organizations
+ WHERE:
     ++ ""is_active"" = true
     ++ ""is_deleted"" = false",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,"SELECT ""is_active"", ""is_deleted"", * FROM bhc.organizations WHERE ""is_active"" = 'true' AND ""is_deleted"" = 'false' 
ORDER BY ""created_at"" DESC"
ID_402,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""BU bán hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""BU bán hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: organizations
     ++ ""is_active"" = true
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,"SELECT ""is_active"", ""is_deleted"", * FROM bhc.organizations WHERE ""is_active"" = 'true' AND ""is_deleted"" = 'false' 
ORDER BY ""created_at"" DESC"
ID_403,,"Kiểm tra chọn dữ liệu ở cbo ""BU bán hàng""
Group 1 ""Thông tin chung""","Chọn multi ""BU bán hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_404,,"Kiểm tra search placeholder trong cbo ""BU bán hàng""
Group 1 ""Thông tin chung""","Chọn cbo ""BU bán hàng""","Placeholder ""Tìm theo mã BU xuất hàng hoặc tên BU xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_405,,"Kiểm tra dữ liệu load ở cbo ""Ngân hàng tham chiếu tỷ giá""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Ngân hàng tham chiếu tỷ giá""","- Dữ liệu load từ màn hình ""<Bank Account => Chưa có>"": <Điều kiện chỉ lấy các record có ""Trạng thái"" = Active => Confirm>
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_406,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Ngân hàng tham chiếu tỷ giá""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Ngân hàng tham chiếu tỷ giá""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_407,,"Kiểm tra chọn dữ liệu ở cbo ""Ngân hàng tham chiếu tỷ giá""
Group 4 ""Thông tin xuất hóa đơn""","Chọn multi ""Ngân hàng tham chiếu tỷ giá"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_408,,"Kiểm tra search placeholder trong cbo ""Ngân hàng tham chiếu tỷ giá""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Ngân hàng tham chiếu tỷ giá""","Placeholder ""Tìm theo mã ngân hàng tham chiếu tỷ giá hoặc tên ngân hàng tham chiếu tỷ giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_409,,"Kiểm tra dữ liệu load ở cbo ""Tỷ giá tham chiếu""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tỷ giá tham chiếu""","- Dữ liệu load từ màn hình ""Tỷ giá"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: exchange_rate
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_410,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Tỷ giá tham chiếu""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tỷ giá tham chiếu""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: exchange_rate
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_411,,"Kiểm tra chọn dữ liệu ở cbo ""Tỷ giá tham chiếu""
Group 4 ""Thông tin xuất hóa đơn""","Chọn multi ""Tỷ giá tham chiếu"" = A, B",Single-select (cbo có search),7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_412,,"Kiểm tra search placeholder trong cbo ""Tỷ giá tham chiếu""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tỷ giá tham chiếu""","Placeholder ""Tìm theo mã tỷ giá tham chiếu hoặc tên tỷ giá tham chiếu""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_413,,"Kiểm tra dữ liệu load ở cbo ""Tài khoản xuất hóa đơn""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tài khoản xuất hóa đơn""","- Dữ liệu load từ màn hình ""Khách hàng"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active => Hỏi có where theo ""Loại khách hàng"" ko, vd: khách hàng cá nhân, nhà bán lẻ, nhà phân phối => CONFIRM??
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_414,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Tài khoản xuất hóa đơn""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tài khoản xuất hóa đơn""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_415,,"Kiểm tra chọn dữ liệu ở cbo ""Tài khoản xuất hóa đơn""
Group 4 ""Thông tin xuất hóa đơn""","Chọn multi ""Tài khoản xuất hóa đơn"" = Nguyễn Văn A, Trần Thị B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_416,,"Kiểm tra hiển thị dữ liệu trong cbo ""Tài khoản xuất hóa đơn""
Group 4 ""Thông tin xuất hóa đơn""","Chọn cbo ""Tài khoản xuất hóa đơn""","Placeholder ""Tìm theo mã tài khoản xuất hóa đơn hoặc tên tài khoản xuất hóa đơn""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_417,,"Kiểm tra dữ liệu load ở cbo ""BU xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""BU xuất hàng""","- Dữ liệu load từ màn hình ""Sơ đồ tổ chức"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: organizations
+ WHERE:
     ++ ""is_active"" = true
     ++ ""is_deleted"" = false",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_418,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""BU xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""BU xuất hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_users
+ Schemas: bhc
+ Tables: organizations
     ++ ""is_active"" = true
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_419,,"Kiểm tra chọn dữ liệu ở cbo ""BU xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""BU xuất hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_420,,"Kiểm tra search placeholder trong cbo ""BU xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""BU xuất hàng""","Placeholder ""Tìm theo mã BU xuất hàng hoặc tên BU xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_421,,"Kiểm tra dữ liệu load ở cbo ""Tổ chức xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Tổ chức xuất hàng""","- Dữ liệu load từ màn hình ""<<chưa có> <Inventory Organization>"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_422,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Tổ chức xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Tổ chức xuất hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
